video_id,title,description,url,channel_id,channel_title,published_at,view_count,like_count,comment_count,duration,thumbnail_url,content_type,metadata,keyword
w0zg5hF_Rzw,"DPR: Lebih dari 70% Masyarakat Memilih Gubernur, Bupati, dan Walkot Itu Karena Uang | tvOne","AKIM, - DPR: Lebih dari 70% Masyarakat Memilih Gubernur , Bupati, dan Walkot Itu Karena Uang ...",https://www.youtube.com/watch?v=w0zg5hF_Rzw,UCER4rvDnRBPr_ncYW4UCZjg,tvOneNews,3 hari yang lalu,0,0,0,16.45,https://i9.ytimg.com/vi/w0zg5hF_Rzw/hq720_custom_2.jpg?sqp=CKyr_8oG-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAZJ49j3qyB2Al3YqE9nJPYf1515w,video,"{'scraped_at': '2026-01-08T16:07:04.076777', 'scraper': 'youtube', 'keywords': ['https', 'tvone', 'memilih', 'dpr', 'com', 'tvonenews', 'lebih', 'www', 'gubernur', 'bupati'], 'language': 'id'}",pemilihan gubernur oleh DPRD
vXi7PM7VLO8,Pilkada oleh DPRD: Antara Efisiensi dan Legitimasi | Prime Plus Part 2,Wacana pengembalian mekanisme pemilihan kepala daerah kepada DPRD kembali mencuat dan memantik polemik dan ...,https://www.youtube.com/watch?v=vXi7PM7VLO8,UCKII0Ml9S5wneKbHswmUrIQ,CNN Indonesia,2 hari yang lalu,0,0,0,15.51,https://i.ytimg.com/vi/vXi7PM7VLO8/hq720.jpg?sqp=-oaymwE2CNAFEJQDSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhGIEsoZTAP&rs=AOn4CLA0tZHVNz35ffl75DUSv1TD0FnAaw,video,"{'scraped_at': '2026-01-08T16:07:04.076777', 'scraper': 'youtube', 'keywords': ['memantik', 'antara', 'pilkada', 'pemilihan', 'polemik', 'part', 'oleh', 'mencuat', 'plus', 'daerah'], 'language': 'id'}",pemilihan gubernur oleh DPRD
35O4A6jr0v0,PDIP Tetap Tolak Usulan Kepala Daerah Dipilih oleh DPRD meski Didukung Golkar hingga Gerindra,Download aplikasi berita TribunX di Play Store atau App Store untuk dapatkan pengalaman baru TRIBUN-VIDEO.COM - Usulan ...,https://www.youtube.com/watch?v=35O4A6jr0v0,UCmxAIW7RDDC88EPk4ry16Kg,Tribunnews,8 hari yang lalu,0,0,0,3.08,https://i.ytimg.com/vi/35O4A6jr0v0/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAqOhHxJQgSz6U2ThDqqyUVLlY6EA,video,"{'scraped_at': '2026-01-08T16:07:04.076777', 'scraper': 'youtube', 'keywords': ['play', 'meski', 'tribun', 'atau', 'usulan', 'pdip', 'golkar', 'com', 'dipilih', 'oleh'], 'language': 'id'}",pemilihan gubernur oleh DPRD
a_dF4NV93UE,"Pilkada Lewat DPRD Dalam Genggaman Partai, Mayoritas Fraksi DPR Setuju?",Download aplikasi berita TribunX di Play Store atau App Store untuk dapatkan pengalaman baru. Wacana pemilihan kepala ...,https://www.youtube.com/watch?v=a_dF4NV93UE,UCr8WCDMH5PpPq6uUxHg5A7w,Tribun Kaltim Official,9 hari yang lalu,0,0,0,3.52,https://i.ytimg.com/vi/a_dF4NV93UE/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBgLxkCL-6XIPO4biGF0HmiDJbVWA,video,"{'scraped_at': '2026-01-08T16:07:04.076777', 'scraper': 'youtube', 'keywords': ['play', 'atau', 'dpr', 'setuju', 'dalam', 'partai', 'pilkada', 'pemilihan', 'mayoritas', 'aplikasi'], 'language': 'id'}",pemilihan gubernur oleh DPRD
3mAAFyaAzdw,"PDIP Bakal Kaji Usulan agar Kepala Daerah Dipilih DPRD, Hasto: Cari yang Bawa Manfaat bagi Rakyat","“Saya katakan kemungkinan opsi alternatifnya adalah pemilihan gubernur oleh DPRD , sebab pemilihan di DPRD juga bagian ...",https://www.youtube.com/watch?v=3mAAFyaAzdw,UCmxAIW7RDDC88EPk4ry16Kg,Tribunnews,1 bulan yang lalu,0,0,0,2.51,https://i.ytimg.com/vi/3mAAFyaAzdw/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAfD18trFCK8c6L5TsKTNkYLOBGPQ,video,"{'scraped_at': '2026-01-08T16:07:04.076777', 'scraper': 'youtube', 'keywords': ['usulan', 'pdip', 'bakal', 'gubernur', 'opsi', 'manfaat', 'bagi', 'pemilihan', 'dipilih', 'rakyat'], 'language': 'id'}",pemilihan gubernur oleh DPRD
FEql9uEE22Y,Pilkada oleh DPRD: Antara Efisiensi dan Legitimasi | Prime Plus,Wacana pengembalian mekanisme pemilihan kepala daerah kepada DPRD kembali mencuat dan memantik polemik dan ...,https://www.youtube.com/watch?v=FEql9uEE22Y,UCKII0Ml9S5wneKbHswmUrIQ,CNN Indonesia,Streaming 3 hari yang lalu,0,0,0,1.32.03,https://i.ytimg.com/vi/FEql9uEE22Y/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCTxbiCJZrzjC10NY2xXXqYz0MSTg,video,"{'scraped_at': '2026-01-08T16:07:04.076777', 'scraper': 'youtube', 'keywords': ['memantik', 'antara', 'pilkada', 'pemilihan', 'polemik', 'oleh', 'mencuat', 'plus', 'daerah', 'kepala'], 'language': 'id'}",pemilihan gubernur oleh DPRD
U6IQ_WKb7VY,Arah Pilkada Berubah: Peta Politik DPR Tunjukkan Fraksi Pendukung DPRD Kian Dominan,Download aplikasi berita TribunX di Play Store atau App Store untuk dapatkan pengalaman baru TRIBUN-VIDEO.COM - Wacana ...,https://www.youtube.com/watch?v=U6IQ_WKb7VY,UCf_PlMzKoS5-w3BrFsojg5w,TribunnewsWIKI Official,9 hari yang lalu,0,0,0,1.18,https://i.ytimg.com/vi/U6IQ_WKb7VY/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD2bIwfefWxRXaIWVqiQi422Tiduw,video,"{'scraped_at': '2026-01-08T16:07:04.076777', 'scraper': 'youtube', 'keywords': ['play', 'tribun', 'peta', 'pendukung', 'atau', 'dpr', 'arah', 'kian', 'pilkada', 'com'], 'language': 'id'}",pemilihan gubernur oleh DPRD
HX8VjLJzWkw,"Alasan Gerindra Dukung Kepala Daerah Dipilih DPRD, Singgung Ongkos Politik",Partai Gerindra menyatakan dukungannya terhadap usulan agar kepala daerah dipilih oleh Dewan Perwakilan Rakyat Daerah ...,https://www.youtube.com/watch?v=HX8VjLJzWkw,UCJpdpj9hNhaYBRGusGv7CjQ,Tribun Jateng,9 hari yang lalu,0,0,0,2.28,https://i.ytimg.com/vi/HX8VjLJzWkw/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDPzXc222KfxQ4mOpHE3OtvYQflcw,video,"{'scraped_at': '2026-01-08T16:07:04.078071', 'scraper': 'youtube', 'keywords': ['terhadap', 'usulan', 'dukungannya', 'partai', 'ongkos', 'dipilih', 'rakyat', 'oleh', 'alasan', 'dewan'], 'language': 'id'}",pemilihan gubernur oleh DPRD
LeLLLpV_atM,Debat Seru Soal Ubah Pilkada Langsung Lewat DPRD,KOMPAS.TV - Sejumlah partai politik secara terbuka memberikan dukungan terhadap usulan agar pemilihan kepala daerah ...,https://www.youtube.com/watch?v=LeLLLpV_atM,UCypJ8Xhh-2bUfkT9KYoltmA,KOMPASTV JAWA TENGAH,6 hari yang lalu,0,0,0,24.32,https://i.ytimg.com/vi/LeLLLpV_atM/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBzGk0NuupKDsw_uZ7n3xgE1t9j6A,video,"{'scraped_at': '2026-01-08T16:07:04.078071', 'scraper': 'youtube', 'keywords': ['terhadap', 'usulan', 'soal', 'ubah', 'partai', 'pilkada', 'pemilihan', 'kompas', 'memberikan', 'langsung'], 'language': 'id'}",pemilihan gubernur oleh DPRD
ZAEuYg3gymU,"Hampir Pasti Pemilihan Kepala Daerah Melalui DPRD Gol di Senayan, Berikut Peta Politik Terbaru",Download aplikasi berita TribunX di Play Store atau App Store untuk dapatkan pengalaman baru. Jika tak ada perubahan ...,https://www.youtube.com/watch?v=ZAEuYg3gymU,UCr8WCDMH5PpPq6uUxHg5A7w,Tribun Kaltim Official,1 hari yang lalu,0,0,0,6.52,https://i.ytimg.com/vi/ZAEuYg3gymU/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAqe8oUd89hKLLbvZx96WLP2kX7rw,video,"{'scraped_at': '2026-01-08T16:07:04.078071', 'scraper': 'youtube', 'keywords': ['play', 'peta', 'atau', 'senayan', 'terbaru', 'ada', 'pemilihan', 'pasti', 'aplikasi', 'melalui'], 'language': 'id'}",pemilihan gubernur oleh DPRD
