url,title,displayedUrl,description,emphasizedKeywords,siteLinks,productInfo,likes,lastUpdated,channelName,type,position,reelLength,followersAmount,tweetCards,date,views,personalInfo,source_file
https://www.instagram.com/p/DR8TBQyEymP/,Prabowo juga menyarankan politik Indonesia harus ...,Instagram › palembangterekam,"Presiden Prabowo Subianto membuka kemungkinan perubahan sistem pilkada langsung menjadi dipilih oleh DPRD, menanggapi usulan Ketua Umum Golkar ...",['perubahan sistem pilkada'],[],{},30+ suka,1 bulan yang lalu,p,organic,96,,,,,,,instagram_search2.json
https://www.instagram.com/p/DR_mpjbkv4Y/,Presiden Prabowo Subianto mempertimbangkan usulan ...,Instagram › hailotim,"Presiden Prabowo Subianto membuka kemungkinan perubahan sistem pilkada langsung menjadi dipilih oleh DPRD, menanggapi usulan Ketua Umum Golkar ...",['perubahan sistem pilkada'],[],{},360+ suka,1 bulan yang lalu,p,organic,97,,,,,,,instagram_search2.json
https://www.instagram.com/p/DOAVeGwE425/,"Tiga partai besar di DPR, yakni PDI Perjuangan (PDIP) ...",Instagram › katadatacoid,"PKS menyatakan dukungan terbatas: pemilihan gubernur dipilih DPRD, sementara bupati dan wali kota tetap dipilih langsung oleh rakyat.",['gubernur dipilih DPRD'],[],{},"2,4 rb+ suka",4 bulan yang lalu,p,organic,20,,,,,,,instagram_search2.json
https://www.instagram.com/p/C8h1ohZS_Xj/,...,Instagram › dppprojo,"PROJO Setujui Kompromi Pilkada: Gubernur Dipilih DPRD, Bupati dan Wali Kota Tetap Dipilih Langsung ...",['Gubernur Dipilih DPRD'],[],{},10+ suka,1 tahun yang lalu,p,organic,21,,,,,,,instagram_search2.json
https://www.instagram.com/p/DDivurDBEHt/,Mahalnya ongkos Pilkada membuat wacana gubernur dipilih ...,https://www.instagram.com › DDivurDBEHt,Mahalnya ongkos Pilkada membuat wacana gubernur dipilih DPRD kembali menghangat. Presiden Prabowo Subianto juga mendukung wacana tersebut. Wacana pemilihan ...,['gubernur dipilih DPRD'],[],{},,,p,organic,22,,,,,,,instagram_search2.json
https://www.instagram.com/reel/DDhVr9Ji-My/biaya-politik-mahal-prabowo-usul-gubernur-dipilih-dprd-seperti-negara-lainpresid/,BIAYA POLITIK MAHAL PRABOWO USUL GUBERNUR DIPILIH ...,https://www.instagram.com › Reels,BIAYA POLITIK MAHAL PRABOWO USUL GUBERNUR DIPILIH DPRD SEPERTI NEGARA LAIN Presiden Prabowo Subianto menyinggung terkait biaya politik di Indonesia yang terlalu ...,['GUBERNUR DIPILIH DPRD'],[],{},,,reel,organic,25,,,,,,,instagram_search2.json
https://www.instagram.com/hariankompas/p/DR_JHp0jfSs/?hl=zh-cn,Koalisi untuk Kodifikasi UU Pemilu menolak wacana ...,Instagram › hariankompas,... gubernur-dipilih-dprd-tapi-bupati-dan-wali-kota-tetap-di-tangan-rakyat?page=2. 更多. 全部82条评论. 2024年12月15日 · domandpartnerslawyer. •.,['gubernur-dipilih-dprd'],[],{},140+ suka,1 bulan yang lalu,hariankompas,organic,26,,,,,,,instagram_search2.json
https://www.instagram.com/p/DJEjOr5z5Cm/,... - Instagram,Instagram › dppprojo,"PROJO Probolinggo Dukung Kompromi Pilkada: Gubernur Dipilih DPRD, Bupati/Wali Kota Tetap Dipilih Langsung",['Gubernur Dipilih DPRD'],[],{},2 suka,8 bulan yang lalu,p,organic,27,,,,,,,instagram_search2.json
https://www.instagram.com/p/DSKKXNVkxYg/,​Polemik Pilkada: Mendagri Sebut UUD 1945 ... - Instagram,Instagram › narayapost,"... gubernur-dipilih-dprd-tapi-bupati-dan-wali-kota-tetap-di-tangan-rakyat?page=2. more. View all 82 comments. December 15, 2024 · mojokdotco.",['gubernur-dipilih-dprd'],[],{},,,p,organic,28,,3 minggu yang lalu,,,,,instagram_search2.json
https://www.instagram.com/p/DODgtA1k__9/,🔸PKS Dukung Sikap Presiden Prabowo tentang ...,Instagram › fraksipksdprri,"PKS menyatakan dukungan terbatas: pemilihan gubernur dipilih DPRD, sementara bupati dan wali kota tetap dipilih langsung oleh rakyat.",['gubernur dipilih DPRD'],[],{},4 rb+ suka,4 bulan yang lalu,p,organic,29,,,,,,,instagram_search2.json
https://www.instagram.com/p/DDoSt_-ybJT/,Wacana pemilihan gubernur oleh DPRD demi ...,Instagram › baturajaupdate,"... .co/nasional/amp/1305424628/anggota-dpr-setuju-gubernur-dipilih-dprd-tapi-bupati-dan-wali-kota-tetap-di-tangan-rakyat"".",['gubernur-dipilih-dprd'],[],{},730+ suka,1 tahun yang lalu,p,organic,30,,,,,,,instagram_search2.json
https://www.instagram.com/tenggaraid/p/DM6s0tbSFN-/?hl=ja,Indonesia's political elite are once again pushing to alter ...,Instagram › tenggaraid,... gubernur-dipilih-dprd-tapi-bupati-dan-wali-kota-tetap-di-tangan-rakyat?page=2. 続きを読む. コメント82件をすべて見る. 2024年12月15日.,['gubernur-dipilih-dprd'],[],{},9 suka,5 bulan yang lalu,tenggaraid,organic,31,,,,,,,instagram_search2.json
https://www.instagram.com/reel/DL1ybrLhvd1/,"Akademisi hukum dan aktivis demokrasi, ...",Instagram › pk_sejahtera,"PKS menyatakan dukungan terbatas: pemilihan gubernur dipilih DPRD, sementara bupati dan wali kota tetap dipilih langsung oleh rakyat.",[],[],{},"1,4 rb+ suka",6 bulan yang lalu,reel,organic,34,0:16,,,,,,instagram_search2.json
https://www.instagram.com/p/Cd8OmH0ph28/,Projo OK.! Ora Kesusu. Projo Jokowi . like4likes ...,Instagram › dppprojo,"PROJO Setujui Kompromi Pilkada: Gubernur Dipilih DPRD, Bupati dan Wali Kota Tetap Dipilih Langsung ...",['Gubernur Dipilih DPRD'],[],{},20+ suka,3 tahun yang lalu,p,organic,35,,,,,,,instagram_search2.json
https://www.instagram.com/p/DMj4bf1yTjc/,‎Pemilihan Kepala Daerah (PILKADA) dan ...,Instagram › dpdri.kalteng,"... gubernur-dipilih-dprd-tapi-bupati-dan-wali-kota-tetap-di-tangan-rakyat?page=2. more. View all 82 comments. December 15, 2024 · koransolopos's ...",['gubernur-dipilih-dprd'],[],{},10+ suka,5 bulan yang lalu,p,organic,37,,,,,,,instagram_search2.json
https://www.instagram.com/p/DRR2yzzkt9P/,PAN Tegas: Evaluasi Anggota DPR Tetap Lewat Partai!,Instagram › bushcoo,"... gubernur-dipilih-dprd-tapi-bupati-dan-wali-kota-tetap-di-tangan-rakyat?page=2. more. View all 82 comments. December 15, 2024 · Sign up ...",['gubernur-dipilih-dprd'],[],{},990+ suka,1 bulan yang lalu,p,organic,38,,,,,,,instagram_search2.json
https://www.instagram.com/p/DMuy2-Hz6IE/,Putusan Mahkamah Konstitusi tentang pemisahan pemilu ...,Instagram › tempodotco,...,['gubernur-dipilih-dprd'],[],{},500+ suka,5 bulan yang lalu,p,organic,39,,,,,,,instagram_search2.json
https://www.instagram.com/p/DG1w8TXyz7u/,"Photo by DPMPTSP Provinsi NTB () · March 6, 2025",https://www.instagram.com › ...,Gubernur tidak langsung melakukan breafing/memberikan arahan mendetail sebelum pelaksanaan serah terima jabatan termasuk menyampaikan instruksi dan arahan ...,['Gubernur tidak langsung'],[],{},,,p,organic,1,,,,,,,instagram_search2.json
https://www.instagram.com/reel/DSFHRo2DbND/,Merespon Pernyataan Klarifikasi Gubernur Papua Selatan ...,Instagram › arnoldusanda,... Gubernur tidak langsung ke tapi datang ke Nakias dengan membawa uang sekitar dua miliar eh sekian-sekian. Uang dua miliar itu yang kemudian ...,[],[],{},30+ suka,4 minggu yang lalu,reel,organic,2,2:58,,,,,,instagram_search2.json
https://www.instagram.com/reel/DS48vtnk2DM/,"Aktivis lingkungan Subang, Gigin Fajar Sujalaga meminta ...",Instagram › mediajabarcom,... Gubernur tidak langsung ataupun tidak turun langsung ke lapangan Pak Syekh yang memang hari ini sedang bergejolak kita bertanya langsung ...,[],[],{},10+ suka,1 minggu yang lalu,reel,organic,3,1:58,,,,,,instagram_search2.json
https://www.instagram.com/reel/DMU5bRIhW6-/,"KompasTV on Instagram: ""Kala Dedi Mulyadi Ngaku Kangen ...",Instagram › kompastv,... gubernur tidak langsung membongkar karena apa? Karena menunggu pencabutan izin mendirikan bangunan dan pencabutan izin lokasi. Ini adalah ...,[],[],{},"1,3 rb+ suka",5 bulan yang lalu,reel,organic,4,8:19,,,,,,instagram_search2.json
https://www.instagram.com/reel/DMXrINGpX72/,"Dear para bestie, RPJMD adalah blue print pembangunan ...",Instagram › dedimulyadi71,... gubernur tidak langsung membongkar karena apa? Karena menunggu pencabutan izin mendirikan bangunan dan pencabutan izin lokasi. Ini adalah ...,[],[],{},"14,1 rb+ suka",5 bulan yang lalu,reel,organic,5,2:59,,,,,,instagram_search2.json
https://www.instagram.com/reel/DMX5A49SQxa/,"Gubernur Jawa Barat, Dedi Mulyadi, melakukan pembahasan ...",Instagram › gobekasi.official,... gubernur tidak langsung membongkar karena apa? Karena menunggu pencabutan izin mendirikan bangunan dan pencabutan izin lokasi. Ini adalah ...,[],[],{},60+ suka,5 bulan yang lalu,reel,organic,6,2:59,,,,,,instagram_search2.json
