tweet_id,text,author,author_name,created_at,likes,replies,retweets,verified,followers,lang,in_reply_to_tweet_id
1.8373568249469463e+18,"Kedua, PJ Gubernur dan kepala daerah lainnya muncul karena masa jabatan mereka telah berakhir. Di luar pemilihan PJ (Penanggung Jawab) sementara agar tidak jadi kekosongan jabatan yang diputuskan oleh koordinasi antara Mendagri, DPRD, dan Presiden.",yogasuud,Kumon,Sat Sep 21 05:02:58 +0000 2024,1,1,0,False,361,,
1.8373569407474936e+18,"Apakah ada cara lebih simpel untuk memilih PJ? Pemilu untuk PJ? PJ itu sementara, mas, wajar ada ketakutan rentan dipolitisasi, tapi untuk sementara sampai kepala daerah terbaru dipilih, apakah ada solusi lebih simpel? Saya terbayang keresahan mas, tapi tidak berarti skeptis toh?",yogasuud,Kumon,Sat Sep 21 05:03:25 +0000 2024,1,1,0,False,361,,
1.832048948787462e+18,"👏👏👏 Semakin sadar kekuatan otonomi daerah. Jadi, kira-kira 70% hajat hidup kita ditentukan oleh daerah (kab/kota), 25% pusat dan hanya 5 % provinsi. Dan Rata-rata kita abai dng politik daerah.",Mertosari,OldGru,Fri Sep 06 13:31:21 +0000 2024,260,9,85,False,291,,
1.8323678277829304e+18,"UU OTDA sudah mengembiri kekuasaan Presiden. UU OTDA harus direvisi, Presiden harus punya kewenangan penuh pada kepala daerah. Pemilihan Gubernur cukup oleh DPRD dg kandidat yg dipilih Presiden.",AGoeci,St. Rajo Alam,Sat Sep 07 10:38:28 +0000 2024,5,1,2,False,698,,
1.8325024816975424e+18,"Sangat setuju, apalagi kalau pemdanya berbeda koalisi dgn presiden terpilih, disitu terjadi pembangkangan.",AriefUs95953043,Arief Usman,Sat Sep 07 19:33:32 +0000 2024,1,0,0,False,351,,
1.828560678208316e+18,"Kembalikan lagi aja Pemilihan Gubernur di lakukan oleh DPRD , gak buang buang energi dan gak buang buang duit…",Bayanaka_2020,BayanakaZhafi,Tue Aug 27 22:30:13 +0000 2024,0,0,0,False,77,,
1.8263101420210427e+18,Sampai dulu tagar ShameOnYouSBY trending dimana2,wisnudennyy,WDG,Wed Aug 21 17:27:23 +0000 2024,0,1,0,False,577,,
1.8263110112485788e+18,"Tapi dengan kerennya SBY terbitkan 2 perppu untuk mancabut UU pilkada tentang pemilihan Pemilihan Gubernur, Bupati, dan Wali Kota yang mengatur bahwa kepala daerah dipilih oleh DPRD di bulan Oktober tepat di akhir masa jabatannya.",wisnudennyy,WDG,Wed Aug 21 17:30:50 +0000 2024,0,1,0,False,577,,
1.8263115024980705e+18,"The Question is, apakah dengan disahkan UU Pilkada ini adalah salah satu grand design untuk menutup masa bakti Jokowi dengan keren seperti SBY? Dimana nanti Jokowi akan menerbitkan perppu juga? Who knows.",wisnudennyy,WDG,Wed Aug 21 17:32:48 +0000 2024,0,0,0,False,577,,
1.8225871438120013e+18,yang didampingi oleh jajaran KPU dan Bawaslu Provinsi Lampung. Selengkapnya : AyoAwasiBersama KawalHakPilih BawasluRI BawasluLampung ----------------------------------,BawasluLampung_,Bawaslulampung,Sun Aug 11 10:53:31 +0000 2024,3,0,0,False,964,,
1.7995953330451172e+18,Agustus langsung dilantik krn pemilihan gubernur setelah UU direvisi dipilih oleh DPRD 1. Itulah kejutannya,sulaimanariefst,alpha wolf,Sun Jun 09 00:12:16 +0000 2024,1,1,0,False,136,,
1.782285120546001e+18,pemilihan presiden lewat MPR dong,aranigr,RaeAgainstTheMachine,Mon Apr 22 05:47:40 +0000 2024,1,1,0,False,318,,
1.7823203456657288e+18,Amademen sistem addendum contoh pasal pemilihan presiden dlm UUD 1945 dipilih oleh MPR dirubah disempurnakan menjadi di pilih dewan pemilihan yg terdiri anggota DPR utusan daerah dan utusan golongan/ MPR ditambah DPRD provinsi kabupaten kota gubernur bupati walikota se-Indonesia,Didi_margo,margo Siswadi,Mon Apr 22 08:07:38 +0000 2024,0,0,0,False,145,,
1.7675967213524462e+18,"Poin pertama yang langsung disoroti, yaitu tentang polemik pemilihan gubernur Jakarta oleh Presiden, dengan pertimbangan dari DPRD Jakarta. Dari survei yang dilakukan oleh Kompas, mayoritas responden menyatakan bahwa mereka tidak menyetujui rancangan tersebut.",AryaPanam,Arya,Tue Mar 12 17:01:13 +0000 2024,0,0,0,False,68,,
1.7580883457990044e+18,Awal mula Prabowo dendam sama Ahok,cinnamorrollysa,alysa,Thu Feb 15 11:18:19 +0000 2024,0,0,0,False,1013,,
1.7408848386584827e+18,"Saya sii udah ngebayangin ketika Anies turun dari pesawat, itu adalah Anies lg turun dari pesawat kenegaraan Kalo pun iya RUU pemilihan gubernur o presiden atas izin DPRD itu akan dipilih oleh Pak Anies sebagai presiden.",kinoyastilianti,Iso kiyo,Fri Dec 29 23:57:44 +0000 2023,0,0,0,False,154,,
1.739123675738276e+18,RUU DKJ memiliki banyak masalah sehingga perlu ditolak! Di antaranya: menghapus pemilihan gubernur (ditunjuk presiden); adanya Dewan Kota yg tumpang tindih dengan kewenangan DPRD; adanya Kawasan Aglomerasi yg dipimpin oleh Wapres.,gauzal,Gauzal Asnawi,Mon Dec 25 03:19:30 +0000 2023,1,1,0,False,298,,
