url,title,displayedUrl,description,emphasizedKeywords,siteLinks,productInfo,likes,lastUpdated,channelName,type,position,reelLength,followersAmount,tweetCards,date,views,personalInfo,source_file,reactions
https://www.threads.com/@disinisadat/post/DPkaGKxEiyt/iya-stiker-happy-family-di-lcgc-dan-avanza-xenia-mungkin-sudah-biasa-kalo-smp-di,Iya. Stiker happy family di LCGC dan Avanza Xenia ...,https://www.threads.com › @disinisadat,"8 Okt 2025 — Kabar buruk untuk kalian yang nolak Pilkada DPRD ala OrbaSuka gak suka, siap gak siap, revisi UU Pilkada pasti akan terjadiUdah ada empat ...",['Pilkada DPRD'],[],{},,,,organic,107,,,,,,,thread 3.json,
https://www.threads.com/@hariankompas/post/DGZ0WwwI6wX/lavani-keluar-sebagai-juara-babak-reguler-proliga-2025-dominasi-musim-ini-menega,Lavani keluar sebagai juara babak reguler Proliga 2025. ...,https://www.threads.com › @hariankompas,banyak partai di Indonesia tidak suka pemilu. baca.komp.as/TQBzF… ArtikelOpini #AdadiKompas. Manuver Pilkada DPRD. kompas.id. Manuver Pilkada ...,"['Pilkada DPRD', 'Pilkada']",[],{},,,,organic,108,,,,2025-02-22T12:00:00.000Z,,,thread 3.json,
https://www.threads.com/@paltiwest/post/DTC3C5uDsSf/video-wow-serangan-amerika-serikat-ke-venezuela,Wow serangan Amerika Serikat ke Venezuela..,https://www.threads.com › @paltiwest,"5 hari yang lalu — Pilkada DPRD Ternyata Punya Modus Akhir Presiden Dipilih MPR, Kedaulatan Rakyat Akan Dirampas Oleh Kedaulatan Elit..Benar-benar gawat ini ...",['Pilkada DPRD'],[],{},,,,organic,109,,,,,,,thread 3.json,
https://www.threads.com/@ulfahr.wildah/post/DTE3GQHjxJo/ga-ada-omongan-dari-presiden-sekarang-dan-ga-ada-juga-berita-yg-terbaru-jadi-ga,"Ga ada omongan dari Presiden sekarang, dan ...",https://www.threads.com › @ulfahr.wildah,5 hari yang lalu — ... pemerintah. mendukung pilkada dprd. teguran yang loe bilang paling juga kahyalan elo gw sih maunya fakta yang terbukti. Related threads.,['pilkada dprd'],[],{},,,,organic,110,,,,,,,thread 3.json,
https://www.threads.com/@holopiscom/post/DS3upIMkYHV/jakarta-tak-tidur-ribuan-petugas-bersihkan-kota-di-malam-pergantian-tahun,"Jakarta Tak Tidur, Ribuan Petugas Bersihkan Kota di ...",https://www.threads.com › @holopiscom,"29 Des 2025 — Arifki Nilai Demokrat Sedang Terjepit di Isu Pilkada DPRDPosisi Demokrat saat ini tidak mudah, mereka sedang dilanda cemas antara memilih ...",['Pilkada DPRD'],[],{},,,,organic,111,,,,,,,thread 3.json,
https://www.threads.com/@disinisadat/post/DSfFvTDkVC5/yoi-kita-tunggu-aja-ya,Yoi.....kita tunggu aja ya 🙂,https://www.threads.com › @disinisadat,"20 Des 2025 — January 1, 2026 at 6:18 PM. Kabar buruk untuk kalian yang nolak Pilkada DPRD ala OrbaSuka gak suka, siap gak siap, revisi UU Pilkada pasti ...",['Pilkada DPRD'],[],{},,,,organic,112,,,,,,,thread 3.json,
https://www.threads.com/@disinisadat/post/DTNHNaIkb7U/beberapa-orang-yang-pernah-masuk-daftar-target-penculikan-delta-force-ayatullah,Beberapa orang yang pernah masuk daftar target ...,https://www.threads.com › @disinisadat,"1 hari yang lalu — January 1, 2026 at 6:18 PM. Kabar buruk untuk kalian yang nolak Pilkada DPRD ala OrbaSuka gak suka, siap gak siap, revisi UU Pilkada pasti ...",['Pilkada DPRD'],[],{},,,,organic,114,,,,,,,thread 3.json,
https://www.threads.com/@holopiscom/post/DS2LJ1rkX_W/sambut-nataru-bahlil-pastikan-stok-lpg-dan-bbm-amanmenteri-esdm-bahlil-lahadalia,"Sambut Nataru, Bahlil Pastikan Stok LPG dan BBM Aman",https://www.threads.com › @holopiscom,"29 Des 2025 — Arifki Yakin Pilkada Lewat DPRD Potensi Lolos, PDIP Tak Mampu BendungArifki Chaniago menilai Pilkada DPRD tak menguntungkan bagi partai kecil.",['Pilkada DPRD'],[],{},,,,organic,115,,,,,,,thread 3.json,
https://www.threads.com/@disinisadat/post/DTIeNg5iXI7/video-sedang-apakah-militer-venezuela-saat-pesawat-dan-helikopter-tempur-usa-masuk-ke-,Sedang apakah militer Venezuela saat pesawat dan ...,https://www.threads.com › @disinisadat,"3 hari yang lalu — Kabar buruk untuk kalian yang nolak Pilkada DPRD ala OrbaSuka gak suka, siap gak siap, revisi UU Pilkada pasti akan terjadiUdah ada empat ...",['Pilkada DPRD'],[],{},,,,organic,116,,,,,,,thread 3.json,
https://www.threads.com/@kompascom/post/DHzeoiLIhpP/ihsg-naik-403-persen-jelang-lebaran-kapitalisasi-pasar-jadi-rp-1112-triliun-http,"IHSG Naik 4,03 Persen Jelang Lebaran, Kapitalisasi Pasar ...",https://www.threads.com › @kompascom,Baca selengkapnya: nasional.kompas.com/read…_RKD #wacana #pilkada #DPRD. May be an image of text that says 'KOMPAS.com UN Pilkada Lewat DPRD. 1.,['pilkada #DPRD'],[],{},,,,organic,117,,,,2025-03-29T12:00:00.000Z,,,thread 3.json,
